home_team,away_team,home_score,home_penalty,away_score,away_penalty,home_manager,home_captain,away_manager,away_captain,Attendance,Venue,Round,Date,Referee,Host,Year
Brazil,Mexico,4,,0,,Flavio Costa,Augusto da Costa,Octavio Vial,Alfonso Montemayor,81649,Maracanï¿½ - Estï¿½dio Jornalista Mï¿½rio Filho- Rio De Janeiro,Group stage,18438,George Reader,Brazil,1950
Brazil,Sweden,4,,2,,Ademar Pimenta,Leônidas,Joszef Nagy,Kurt Svanström,12000,Stade du Parc Lescure- Bordeaux,Third-place match,14050,Jean Langenus,France,1938
Italy,Hungary,4,,2,,Vittorio Pozzo,Giuseppe Meazza,Karoly Dietz,György Sárosi,45000,Stade Olympique- Colombes,Final,14050,Georges Capdeville,France,1938
Hungary,Sweden,5,,1,,Karoly Dietz,György Sárosi,Joszef Nagy,Tore Keller,20000,Parc des Princes- Paris,Semi-finals,14047,Lucien Leclercq,France,1938
Italy,Brazil,2,,1,,Vittorio Pozzo,Giuseppe Meazza,Ademar Pimenta,Martim Mércio da Silveira,33000,Stade Vï¿½lodrome- Marseilles,Semi-finals,14047,Hans Wuethrich,France,1938
Brazil,Czechoslovakia,2,,1,,Ademar Pimenta,Leônidas,Vaclav Meissner,Jaroslav Burgr,18141,Stade du Parc Lescure- Bordeaux,Quarter-finals,14045,Georges Capdeville,France,1938
Sweden,Cuba,8,,0,,Joszef Nagy,Tore Keller,Jose Tapia,Tomás Fernández,7000,Fort Carree- Antibes,Quarter-finals,14043,Gustav Krist,France,1938
Brazil,Czechoslovakia,1,,1,,Ademar Pimenta,Martim Mércio da Silveira,Vaclav Meissner,František Plánička,22021,Stade du Parc Lescure- Bordeaux,Quarter-finals,14043,Pal Von Hertzka,France,1938
Hungary,Switzerland,2,,0,,Karoly Dietz,György Sárosi,Karl Rappan,André Abegglen,15000,Victor Boucquey- Lille,Quarter-finals,14043,Rinaldo Barlassina,France,1938
Italy,France,3,,1,,Vittorio Pozzo,Giuseppe Meazza,Gaston Barreau,Étienne Mattler,58455,Stade Olympique- Colombes,Quarter-finals,14043,Louis Baert,France,1938
Switzerland,Germany,4,,2,,Karl Rappan,Severino Minelli,Sepp Herberger,Fritz Szepan,20025,Parc des Princes- Paris,Round of 16,14040,Ivan Eklind,France,1938
Cuba,Romania,2,,1,,Jose Tapia,Tomás Fernández,Coloman Braun,Ștefan Dobay,8000,Stade Municipal- Toulouse,Round of 16,14040,Alfred Birlem,France,1938
Italy,Norway,2,,1,,Vittorio Pozzo,Giuseppe Meazza,Asbjorn Halvorsen,Nils Eriksen,19000,Stade Vï¿½lodrome- Marseilles,Round of 16,14036,Alois Beranek,France,1938
Cuba,Romania,3,,3,,Jose Tapia,Tomás Fernández,Coloman Braun,Nicolae Kovács,7000,Stade Municipal- Toulouse,Round of 16,14036,Giuseppe Scarpi,France,1938
Hungary,Dutch East Indies,6,,0,,Karoly Dietz,György Sárosi,Johannes Van Mastenbroek,Frans Alfred Meeng,9000,Velodrome Municipale- Reims,Round of 16,14036,Roger Conrie,France,1938
France,Belgium,3,,1,,Gaston Barreau,Étienne Mattler,Jack Butler,Émile Stijnen,30454,Stade Olympique- Colombes,Round of 16,14036,Hans Wuethrich,France,1938
Brazil,Poland,6,,5,,Ademar Pimenta,Martim Mércio da Silveira,Jozef Kaluza,Władysław Szczepaniak,13452,Stade de la Meinau- Strasbourg,Round of 16,14036,Ivan Eklind,France,1938
Czechoslovakia,Netherlands,3,,0,,Vaclav Meissner,František Plánička,Bob Glendenning,Puck van Heel,11000,Cavee Verte- Le Havre,Round of 16,14036,Lucien Leclercq,France,1938
Switzerland,Germany,1,,1,,Karl Rappan,Severino Minelli,Sepp Herberger,Hans Mock,27152,Parc des Princes- Paris,Round of 16,14035,Jean Langenus,France,1938
Italy,Czechoslovakia,2,,1,,Vittorio Pozzo,Gianpiero Combi,Karel Petru,František Plánička,55000,Nazionale PNF- Rome,Final,12580,Ivan Eklind,Italy,1934
Germany,Austria,3,,2,,Otto Nerz,Fritz Szepan,Hugo Meisl,Johann Horvath,7000,Giorgio Ascarelli- Naples,Third-place match,12577,Albino Carraro,Italy,1934
Czechoslovakia,Germany,3,,1,,Karel Petru,František Plánička,Otto Nerz,Fritz Szepan,15000,Nazionale PNF- Rome,Semi-finals,12573,Rinaldo Barlassina,Italy,1934
Italy,Austria,1,,0,,Vittorio Pozzo,Gianpiero Combi,Hugo Meisl,Josef Smistik,35000,San Siro- Milan,Semi-finals,12573,Ivan Eklind,Italy,1934
Italy,Spain,1,,0,,Vittorio Pozzo,Gianpiero Combi,Amadeo Garcia,Jacinto Quincoces,43000,Giovanni Berta- Florence,Quarter-finals,12571,Rene Mercet,Italy,1934
Austria,Hungary,2,,1,,Hugo Meisl,Johann Horvath,Odon Nadas,László Sternberg,23000,Littorale- Bologna,Quarter-finals,12570,Francesco Mattea,Italy,1934
Czechoslovakia,Switzerland,3,,2,,Karel Petru,František Plánička,Henry Mueller,Severino Minelli,12000,Stadio Benito Mussolini- Turin,Quarter-finals,12570,Alois Beranek,Italy,1934
Italy,Spain,1,,1,,Vittorio Pozzo,Gianpiero Combi,Amadeo Garcia,Ricardo Zamora,35000,Giovanni Berta- Florence,Quarter-finals,12570,Louis Baert,Italy,1934
Germany,Sweden,2,,1,,Otto Nerz,Fritz Szepan,Joszef Nagy,Nils Rosén,3000,San Siro- Milan,Quarter-finals,12570,Rinaldo Barlassina,Italy,1934
Czechoslovakia,Romania,2,,1,,Karel Petru,František Plánička,Constantin Radulescu,Emerich Vogl,9000,Littorio- Trieste,Round of 16,12566,Jean Langenus,Italy,1934
Hungary,Egypt,4,,2,,Odon Nadas,László Sternberg,James Mcrea,Mahmoud Mokhtar El-Tetsh,9000,Giorgio Ascarelli- Naples,Round of 16,12566,Rinaldo Barlassina,Italy,1934
Austria,France,3,,2,,Hugo Meisl,Josef Smistik,George Kimpton,Alex Thépot,16000,Stadio Benito Mussolini- Turin,Round of 16,12566,Johannes Van Moorsel,Italy,1934
Switzerland,Netherlands,3,,2,,Henry Mueller,Severino Minelli,Bob Glendenning,Puck van Heel,33000,San Siro- Milan,Round of 16,12566,Ivan Eklind,Italy,1934
Sweden,Argentina,3,,2,,Joszef Nagy,Nils Rosén,Felipe Pascucci,Alfredo Devincenzi,14000,Littorale- Bologna,Round of 16,12566,Eugen Braun,Italy,1934
Spain,Brazil,3,,1,,Amadeo Garcia,Ricardo Zamora,Luiz Vinhaes,Martim Mércio da Silveira,21000,Luigi Ferraris- Genoa,Round of 16,12566,Alfred Birlem,Italy,1934
Germany,Belgium,5,,2,,Otto Nerz,Fritz Szepan,Hector Goetinck,Félix Welkenhuysen,8000,Giovanni Berta- Florence,Round of 16,12566,Francesco Mattea,Italy,1934
Italy,United States,7,,1,,Vittorio Pozzo,Virginio Rosetta,David Gould,George Moorhouse,25000,Nazionale PNF- Rome,Round of 16,12566,Rene Mercet,Italy,1934
Uruguay,Argentina,4,,2,,Alberto Suppici,José Nasazzi,Francisco Olazar,Manuel Ferreira,68346,Estadio Centenario- Montevideo,Final,11169,Jean Langenus,Uruguay,1930
Uruguay,Yugoslavia,6,,1,,Alberto Suppici,José Nasazzi,Bosko Simonovic,Milutin Ivković,79867,Estadio Centenario- Montevideo,Semi-finals,11166,Gilberto Rego,Uruguay,1930
Argentina,United States,6,,1,,Francisco Olazar,Manuel Ferreira,Bob Millar,Tom Florie,72886,Estadio Centenario- Montevideo,Semi-finals,11165,Jean Langenus,Uruguay,1930
Argentina,Chile,3,,1,,Francisco Olazar,Manuel Ferreira,Gyorgy Orth,Guillermo Subiabre,41459,Estadio Centenario- Montevideo,Group stage,11161,Jean Langenus,Uruguay,1930
Uruguay,Romania,4,,0,,Alberto Suppici,José Nasazzi,Octav Luchide,Emerich Vogl,70022,Estadio Centenario- Montevideo,Group stage,11160,Gilberto Rego,Uruguay,1930
Brazil,Bolivia,4,,0,,Pindaro De Carvalho,Preguinho,Ulises Saucedo,Rafael Méndez,25466,Estadio Centenario- Montevideo,Group stage,11159,Thomas Balway,Uruguay,1930
Paraguay,Belgium,1,,0,,Jose Durand Laguna,Luis Vargas Peña,Hector Goetinck,Pierre Braine,12000,Estadio Centenario- Montevideo,Group stage,11159,Ricardo Vallarino,Uruguay,1930
Chile,France,1,,0,,Gyorgy Orth,Carlos Schneeberger,Raoul Caudron,Alexandre Villaplane,2000,Estadio Centenario- Montevideo,Group stage,11158,Anibal Tejada,Uruguay,1930
Argentina,Mexico,6,,3,,Francisco Olazar,Ángel Bossio,Juan Luque,Rafael Garza Gutiérrez,42100,Estadio Centenario- Montevideo,Group stage,11158,Ulises Saucedo,Uruguay,1930
Uruguay,Peru,1,,0,,Alberto Suppici,José Nasazzi,Francisco Bru,Antonio Maquilón,57735,Estadio Centenario- Montevideo,Group stage,11157,Jean Langenus,Uruguay,1930
Yugoslavia,Bolivia,4,,0,,Bosko Simonovic,Milutin Ivković,Ulises Saucedo,Rafael Méndez,18306,Parque Central- Montevideo,Group stage,11156,Francisco Mateucci,Uruguay,1930
United States,Paraguay,3,,0,,Bob Millar,Tom Florie,Jose Durand Laguna,Luis Vargas Peña,18306,Parque Central- Montevideo,Group stage,11156,Jose Macias,Uruguay,1930
Chile,Mexico,3,,0,,Gyorgy Orth,Carlos Schneeberger,Juan Luque,Rafael Garza Gutiérrez,9249,Parque Central- Montevideo,Group stage,11155,Henry Cristophe,Uruguay,1930
Argentina,France,1,,0,,Francisco Olazar,Manuel Ferreira,Raoul Caudron,Alexandre Villaplane,23409,Parque Central- Montevideo,Group stage,11154,Gilberto Rego,Uruguay,1930
Yugoslavia,Brazil,2,,1,,Bosko Simonovic,Milutin Ivković,Pindaro De Carvalho,Preguinho,24059,Parque Central- Montevideo,Group stage,11153,Anibal Tejada,Uruguay,1930
Romania,Peru,3,,1,,Octav Luchide,Emerich Vogl,Francisco Bru,Plácido Galindo,2549,Pocitos- Montevideo,Group stage,11153,Alberto Warnken,Uruguay,1930
United States,Belgium,3,,0,,Bob Millar,Tom Florie,Hector Goetinck,Pierre Braine,18346,Parque Central- Montevideo,Group stage,11152,Jose Macias,Uruguay,1930
France,Mexico,4,,1,,Raoul Caudron,Alexandre Villaplane,Juan Luque,Rafael Garza Gutiérrez,4444,Pocitos- Montevideo,Group stage,11152,Domingo Lombardi,Uruguay,1930
